device,comment_id,comment
Samsung S26,1,"Sample comment 1 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,2,"Sample comment 2 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,3,"Sample comment 3 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,4,"Sample comment 4 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,5,"Sample comment 5 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,6,"Sample comment 6 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,7,"Sample comment 7 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,8,"Sample comment 8 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,9,"Sample comment 9 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,10,"Sample comment 10 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,11,"Sample comment 11 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,12,"Sample comment 12 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,13,"Sample comment 13 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,14,"Sample comment 14 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,15,"Sample comment 15 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,16,"Sample comment 16 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,17,"Sample comment 17 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,18,"Sample comment 18 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,19,"Sample comment 19 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,20,"Sample comment 20 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,21,"Sample comment 21 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,22,"Sample comment 22 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,23,"Sample comment 23 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,24,"Sample comment 24 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,25,"Sample comment 25 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,26,"Sample comment 26 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,27,"Sample comment 27 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,28,"Sample comment 28 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,29,"Sample comment 29 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,30,"Sample comment 30 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,31,"Sample comment 31 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,32,"Sample comment 32 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,33,"Sample comment 33 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,34,"Sample comment 34 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,35,"Sample comment 35 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,36,"Sample comment 36 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,37,"Sample comment 37 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,38,"Sample comment 38 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,39,"Sample comment 39 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,40,"Sample comment 40 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,41,"Sample comment 41 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,42,"Sample comment 42 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,43,"Sample comment 43 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,44,"Sample comment 44 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,45,"Sample comment 45 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,46,"Sample comment 46 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,47,"Sample comment 47 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,48,"Sample comment 48 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,49,"Sample comment 49 about Samsung S26. Users discuss features, performance, and opinions."
Samsung S26,50,"Sample comment 50 about Samsung S26. Users discuss features, performance, and opinions."
iPhone 17,1,"Sample comment 1 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,2,"Sample comment 2 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,3,"Sample comment 3 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,4,"Sample comment 4 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,5,"Sample comment 5 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,6,"Sample comment 6 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,7,"Sample comment 7 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,8,"Sample comment 8 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,9,"Sample comment 9 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,10,"Sample comment 10 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,11,"Sample comment 11 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,12,"Sample comment 12 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,13,"Sample comment 13 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,14,"Sample comment 14 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,15,"Sample comment 15 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,16,"Sample comment 16 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,17,"Sample comment 17 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,18,"Sample comment 18 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,19,"Sample comment 19 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,20,"Sample comment 20 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,21,"Sample comment 21 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,22,"Sample comment 22 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,23,"Sample comment 23 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,24,"Sample comment 24 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,25,"Sample comment 25 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,26,"Sample comment 26 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,27,"Sample comment 27 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,28,"Sample comment 28 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,29,"Sample comment 29 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,30,"Sample comment 30 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,31,"Sample comment 31 about iPhone 17. Users discuss features, performance, and opinions."
iPhone 17,32,"Sample comment 32 about iPhone 17. Users discuss features, performance, and opinions."
